Anúncio,Preço,Avaliação
['50m da praia de verdade! Casa completa p/4 pessoas'],"[' ', 'Preço:', 'R$148', '/noite']",['4.75']
['Apto Jurerê internacional no open shopping CDS209'],"[' ', 'Preço:', 'R$181', '/noite']",[]
['Apt Novo TOP - 2 quartos - Open Shop Jurere'],"[' ', 'Preço:', 'R$301', '/noite']",['5.0']
['Lindo apê no Open Shopping em Jurerê Internacional'],"[' ', 'Preço:', 'R$252', '/noite']",['5.0']
"['Bem-estar a 2 Quadras da Praia, Wifi 60mega']","[' ', 'Preço:', 'R$95', '/noite']",[]
['Apartamento 2 quartos 400m da praia Jurere'],"[' ', 'Preço:', 'R$95', '/noite']",[]
['Apto Familiar sossego e natureza-2Q'],"[' ', 'Preço:', 'R$289', '/noite']",['4.80']
['Férias Jurerê-apto 2 suítes para 6 pessoas VDI208'],"[' ', 'Preço:', 'R$181', '/noite']",['4.82']
['Casa familiar em meio a natureza'],"[' ', 'Preço:', 'R$120', '/noite']",['4.92']
['Apartamento em Jurerê Internacional à 300 M do mar'],"[' ', 'Preço:', 'R$400', '/noite']",['4.80']
['Apartamento Jurerê 400 mts da praia'],"[' ', 'Preço:', 'R$148', '/noite']",['4.91']
['Apartamento próximo do mar Jurerê Internacional'],"[' ', 'Preço:', 'R$252', '/noite']",[]
['JURERÊ INTERNACIONAL - AP 2 QUARTOS'],"[' ', 'Preço:', 'R$239', '/noite']",['4.88']
['AMPLO CONFORTÁVEL EXCELENTE - 3 SUÍTES JURERÊ INT.'],"[' ', 'Preço:', 'R$268', '/noite']",['4.97']
['Apartamento perto da praia em Jurerê'],"[' ', 'Preço:', 'R$260', '/noite']",['5.0']
['Jurerê por inteiro ! Lindo Apartamento 3 quartos com piscina no prédio e perto de tudo'],"[' ', 'Preço:', 'R$392', '/noite']",['4.90']
['Apto p/5 pessoas férias em família Jurerê CHR101'],"[' ', 'Preço:', 'R$181', '/noite']",['5.0']
['Jurerê - Lar com Bela Vista'],"[' ', 'Preço:', 'R$252', '/noite']",['4.86']
['Apto no open shopping Jurerê Internacional CDS208'],"[' ', 'Preço:', 'R$181', '/noite']",[]
['Lindo Apto no Open Shopping Jurerê Internacional!!'],"[' ', 'Preço:', 'R$165', '/noite']",[]
['Casa para temporada em Jurerê!'],"[' ', 'Preço:', 'R$351', '/noite']",[]
['Excelente apto Jurerê Internacional'],"[' ', 'Preço:', 'R$210', '/noite']",['4.0']
['Ótimo Apartamento próximo ao mar de Jurerê'],"[' ', 'Preço:', 'R$181', '/noite']",['4.96']
['APARTAMENTO LINDO Á 900m DA PRAIA DE JURERÊ.'],"[' ', 'Preço:', 'R$351', '/noite']",[]
['Jurerê Palace'],"[' ', 'Preço:', 'R$400', '/noite']",[]
['Apto em Jurerê Internacional'],"[' ', 'Preço:', 'R$252', '/noite']",['4.92']
['Apartamento Completo Jurere'],"[' ', 'Preço:', 'R$280', '/noite']",['5.0']
['Apartamento a 5 min da praia do Jurerê Tradicional'],"[' ', 'Preço:', 'R$388', '/noite']",['4.94']
['Nova e aconchegante casa (três suítes) em Jurerê!'],"[' ', 'Preço:', 'R$450', '/noite']",['5.0']
['Casa 50m Praia Jurerê. Melhores Points ao lado'],"[' ', 'Preço:', 'R$301', '/noite']",['5.0']
['COBERTURA JURERE (PENTHOUSE)'],"[' ', 'Preço:', 'R$351', '/noite']",['4.78']
['Apartamento na praia de Jurerê em Florianópolis'],"[' ', 'Preço:', 'R$227', '/noite']",['5.0']
['Apartamento em Jurere Internacional'],"[' ', 'Preço:', 'R$148', '/noite']",['4.56']
['Apartamento para 05 pessoas'],"[' ', 'Preço:', 'R$301', '/noite']",[]
